"utc_date","local_date","exp_id","exp_ver","id","prolific_id","browser","task","task_ver","gorilla_counterbalance","trial_row","rt","response","attempt","accuracy","dishonest","display","counterbalance_order","list","event","condition","event_name","stim","seq_pos","spatial_pos"
"13/04/2021 15:12:43","13/04/2021 11:12:46",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b4",2,"SS5",40,1207.20500000607,2,1,1,0,"motor_trial_mem","SS5",4,3,"pred","grocery store.png","cereal.png",5,2
"13/04/2021 15:12:47","13/04/2021 11:12:50",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b4",2,"SS5",42,562.630000000354,3,1,1,0,"motor_trial_mem","SS5",4,3,"pred","grocery store.png","pizza.png",6,3
"13/04/2021 15:12:55","13/04/2021 11:12:58",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b4",2,"SS5",46,457.260000002861,1,1,1,0,"motor_trial_mem","SS5",4,4,"pred","grocery store.png","ravioli.png",1,1
"13/04/2021 15:13:00","13/04/2021 11:13:02",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b4",2,"SS5",48,740.475000005972,4,1,1,0,"motor_trial_mem","SS5",4,4,"pred","grocery store.png","egg.png",2,4
"13/04/2021 15:13:04","13/04/2021 11:13:06",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b4",2,"SS5",50,499.770000002172,3,1,1,0,"motor_trial_mem","SS5",4,4,"pred","grocery store.png","beet.png",3,3
"13/04/2021 15:13:08","13/04/2021 11:13:10",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b4",2,"SS5",52,506.170000000566,4,1,1,0,"motor_trial_mem","SS5",4,4,"pred","grocery store.png","peaches.png",4,4
"13/04/2021 15:13:12","13/04/2021 11:13:15",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b4",2,"SS5",54,980.900000002293,2,1,1,0,"motor_trial_mem","SS5",4,4,"pred","grocery store.png","bacon.png",5,2
"13/04/2021 15:13:16","13/04/2021 11:13:19",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b4",2,"SS5",56,521.164999998291,3,1,1,0,"motor_trial_mem","SS5",4,4,"pred","grocery store.png","ramen.png",6,3
"13/04/2021 15:16:20","13/04/2021 11:16:22",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b5",2,"SS5",4,478.325000003679,1,1,1,0,"motor_trial_mem","SS5",5,1,"pred","grocery store.png","croissant.png",1,1
"13/04/2021 15:16:24","13/04/2021 11:16:26",48742,5,3598281,"5e3adfc595ff562fbdd130fa","Edge 89.0.774.75","encoding_b5",2,"SS5",6,566.820000000007,4,1,1,0,"motor_trial_mem","SS5",5,1,"pred","grocery store.png","bagel.png",2,4
