"utc_date","local_date","exp_id","exp_ver","id","prolific_id","browser","task","task_ver","gorilla_counterbalance","trial_row","screen_name","zone_type","rt","response","attempt","accuracy","dishonest","display","counterbalance_order","list","event","condition","event_name","seq_pos","spatial_pos","recon_correct"
"09/02/2021 22:44:32","09/02/2021 17:44:30",40999,4,3008809,"5ec771e68288e91bf1919096","Firefox 85.0","final_recon",3,"SS3",30,"Screen 1","response_button_image",422,"lemur.png",1,0,0,"recon_trial","SS3",3,3,"rand","pet store.png",6,3,"flamingo.png"
"09/02/2021 22:54:08","09/02/2021 17:54:06",40999,4,3008936,"5efa246d81a512824bc2d703","Chrome 88.0.4324.150","final_recon",3,"SS2",53,"Screen 1","response_button_image",3498.0099999957,"cinnamon.png",1,0,0,"recon_trial","SS2",7,4,"rand","grocery store.png",1,2,"basil.png"
"09/02/2021 22:54:09","09/02/2021 17:54:07",40999,4,3008936,"5efa246d81a512824bc2d703","Chrome 88.0.4324.150","final_recon",3,"SS2",54,"Screen 1","response_button_image",512.820000003558,"basil.png",1,0,0,"recon_trial","SS2",7,4,"rand","grocery store.png",2,4,"muffin.png"
"09/02/2021 22:54:10","09/02/2021 17:54:08",40999,4,3008936,"5efa246d81a512824bc2d703","Chrome 88.0.4324.150","final_recon",3,"SS2",55,"Screen 1","response_button_image",1002.21999999485,"bakedpotato.png",1,1,0,"recon_trial","SS2",7,4,"rand","grocery store.png",3,3,"bakedpotato.png"
"09/02/2021 22:54:10","09/02/2021 17:54:09",40999,4,3008936,"5efa246d81a512824bc2d703","Chrome 88.0.4324.150","final_recon",3,"SS2",56,"Screen 1","response_button_image",670.259999998962,"corn.png",1,0,0,"recon_trial","SS2",7,4,"rand","grocery store.png",4,1,"cinnamon.png"
"09/02/2021 22:54:11","09/02/2021 17:54:09",40999,4,3008936,"5efa246d81a512824bc2d703","Chrome 88.0.4324.150","final_recon",3,"SS2",57,"Screen 1","response_button_image",615.149999997811,"garlic.png",1,1,0,"recon_trial","SS2",7,4,"rand","grocery store.png",5,3,"garlic.png"
"09/02/2021 22:54:12","09/02/2021 17:54:10",40999,4,3008936,"5efa246d81a512824bc2d703","Chrome 88.0.4324.150","final_recon",3,"SS2",58,"Screen 1","response_button_image",539.720000000671,"muffin.png",1,0,0,"recon_trial","SS2",7,4,"rand","grocery store.png",6,4,"corn.png"
"09/02/2021 22:54:17","09/02/2021 17:54:15",40999,4,3008936,"5efa246d81a512824bc2d703","Chrome 88.0.4324.150","final_recon",3,"SS2",18,"Screen 1","response_button_image",4679.74500000128,"ferret.png",1,1,0,"recon_trial","SS2",3,1,"pred","pet store.png",1,1,"ferret.png"
"09/02/2021 22:54:18","09/02/2021 17:54:16",40999,4,3008936,"5efa246d81a512824bc2d703","Chrome 88.0.4324.150","final_recon",3,"SS2",19,"Screen 1","response_button_image",522.000000011758,"beetle.png",1,1,0,"recon_trial","SS2",3,1,"pred","pet store.png",2,4,"beetle.png"
"09/02/2021 22:54:18","09/02/2021 17:54:16",40999,4,3008936,"5efa246d81a512824bc2d703","Chrome 88.0.4324.150","final_recon",3,"SS2",20,"Screen 1","response_button_image",455.900000000838,"cardinal.png",1,0,0,"recon_trial","SS2",3,1,"pred","pet store.png",3,3,"emu.png"
